Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Year
北海道コンサドーレ札幌,8.0,10.0,11.0,12.0,11.0,13.0,16.0,12.0,13.0,10.0,11.0,9.0,11.0,8.0,10.0,11.0,11.0,9.0,10.0,14.0,14.0,14.0,14.0,11.0,11.0,12.0,14.0,12.0,11.0,11.0,11.0,12.0,10.0,10.0,,,,,2022
名古屋グランパス,2.0,6.0,6.0,11.0,10.0,14.0,12.0,13.0,12.0,15.0,14.0,15.0,13.0,13.0,9.0,10.0,10.0,11.0,12.0,9.0,11.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,8.0,,,,,2022
川崎フロンターレ,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2022
柏レイソル,2.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,6.0,5.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,,,,,2022
横浜F・マリノス,6.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2022
浦和レッズ,14.0,16.0,7.0,13.0,6.0,7.0,8.0,10.0,10.0,13.0,16.0,14.0,15.0,14.0,15.0,14.0,13.0,10.0,11.0,11.0,9.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,,,,,2022
清水エスパルス,8.0,3.0,9.0,14.0,14.0,16.0,15.0,16.0,16.0,16.0,12.0,13.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,18.0,17.0,17.0,18.0,15.0,12.0,11.0,11.0,11.0,12.0,12.0,14.0,16.0,17.0,17.0,,,,,2022
湘南ベルマーレ,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0,16.0,15.0,13.0,13.0,12.0,13.0,14.0,15.0,15.0,16.0,14.0,14.0,15.0,15.0,13.0,13.0,12.0,,,,,2022
鹿島アントラーズ,1.0,7.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,,,,,2022
FC東京,2.0,5.0,9.0,5.0,7.0,9.0,8.0,11.0,8.0,6.0,9.0,11.0,11.0,10.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,12.0,11.0,,,,,2023
