match_id,section,match_date,feature_source,feature_as_of,feature_snapshot_path,fallback_reason
2026_special-100yj1-13-chib-vs-y-fm,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-13-fuku-vs-hiro,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-13-kobe-vs-c-os,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-13-kyot-vs-g-os,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-13-nago-vs-okay,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-13-uraw-vs-ka-f,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-13-kasw-vs-FCtk,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-13-mito-vs-mcd,13,2026-04-29,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-okay-vs-hiro,14,2026-05-02,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-kyot-vs-shim,14,2026-05-02,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-y-fm-vs-mito,14,2026-05-02,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-FCtk-vs-ka-f,14,2026-05-02,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-g-os-vs-kobe,14,2026-05-02,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-uraw-vs-chib,14,2026-05-02,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-tk-v-vs-kasw,14,2026-05-03,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-c-os-vs-fuku,14,2026-05-03,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-kasm-vs-mcd,14,2026-05-03,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-14-ngsk-vs-nago,14,2026-05-03,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-shim-vs-c-os,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-ngsk-vs-okay,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-fuku-vs-kyot,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-nago-vs-g-os,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-FCtk-vs-chib,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-hiro-vs-kobe,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-kasm-vs-mito,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-mcd-vs-y-fm,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-ka-f-vs-tk-v,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-15-kasw-vs-uraw,15,2026-05-06,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-mito-vs-uraw,16,2026-05-09,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-c-os-vs-ngsk,16,2026-05-09,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-kobe-vs-okay,16,2026-05-10,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-shim-vs-fuku,16,2026-05-10,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-y-fm-vs-kasm,16,2026-05-10,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-FCtk-vs-tk-v,16,2026-05-10,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-g-os-vs-hiro,16,2026-05-10,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-kasw-vs-ka-f,16,2026-05-10,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-nago-vs-kyot,16,2026-05-10,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-16-chib-vs-mcd,16,2026-05-10,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-12-kobe-vs-kyot,12,2026-05-13,fallback_rebuilt,,,no_point_in_time_snapshot
