column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Backline_Matchup_3_vs_3,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Backline_Matchup_3_vs_4,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Backline_Matchup_4_vs_3,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Backline_Matchup_4_vs_4,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Home_Formation_3-1-4-2,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Home_Formation_3-3-2-2,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Home_Formation_3-4-2-1,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Home_Formation_4-1-2-3,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Home_Formation_4-2-1-3,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Home_Formation_4-2-3-1,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Home_Formation_4-4-2,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Away_Formation_3-1-4-2,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Away_Formation_3-3-2-2,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Away_Formation_3-4-2-1,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Away_Formation_4-1-2-3,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Away_Formation_4-2-1-3,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Away_Formation_4-2-3-1,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
Away_Formation_4-4-2,20,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 20}"
season,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
league,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
competition,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
category,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
section,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
match_date,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
kickoff_time,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
home_team,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
away_team,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
status,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
match_id,20,20,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 20}"
