column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Away_Prev_Avg Distance Covered,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Avg Sprints,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Distance Covered (In Possession),11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Sprints (In Possession),11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Distance Covered (Out of Possession),11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Sprints (Out of Possession),11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
is_Mirror_Game,11,0,11,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 11}"
Home_DF_count,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_MF_count,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_FW_count,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Away_DF_count,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_MF_count,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_FW_count,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Home_Midfield_Advantage,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Defense_Margin_Home,11,0,11,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 11}"
Defense_Margin_Away,11,0,11,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 11}"
Backline_Matchup,11,11,0,1.0,0.0,actual_2026_derived,"{""actual_2026_derived"": 11}"
Home_Prev_Goal PK,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Goal Direct Set Piece,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Goal Indirect Set Piece,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Goal Cross,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Goal Through Pass,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Goal from pass within 30m,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Goal from pass farther than 30m,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Goal from Dribble,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Goal from Ball Lost,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Goal Other,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Set-piece Index,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Left Attack Index,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Center Attack Index,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Right Attack Index,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Short Counter,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Long Counter,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_Opponent Area Possession,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Prev_My Area Possession,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Away_Prev_Goal PK,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Goal Direct Set Piece,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Goal Indirect Set Piece,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Goal Cross,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Goal Through Pass,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Goal from pass within 30m,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Goal from pass farther than 30m,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Goal from Dribble,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Goal from Ball Lost,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Goal Other,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Set-piece Index,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Left Attack Index,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Center Attack Index,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
